plucking positions,angles of attack,spectral centroid
8.544091443940154,-3.5395578830235475,447.54400444858913
9.661932569997,-3.7645650544220692,596.2781640253997
9.231944839614386,-0.13090213277595356,686.27702464202
5.866410873234962,5.5473360731245895,454.9229325983473
8.05453760966489,4.978275904602186,531.2603685957115
9.353543186644707,7.813062511511619,875.0551161960324
10.325804211834189,10.88290237969929,438.7101844583642
8.918943138579714,9.404779062732482,462.4868410182646
11.629528687561674,7.991893348181653,1040.5149484452575
10.584153246262709,9.359943712085647,434.6287687123421
10.285230957191857,7.198195384588268,560.0328410758799
12.390979538528505,8.54725323862509,817.0090724483979
9.316063474704677,10.653603856113184,455.98334536476324
11.27277297546398,8.622129301675772,549.2321565817851
12.514181178343513,10.035239318405797,879.3134728027707
9.396577456096054,11.559223632662903,430.30690006222375
9.419752767241476,10.193922082612943,545.0097436635358
9.585409029950839,12.444480552525597,981.0324181650445
9.271339720961507,8.576933644169575,441.64598284281
9.76038724083412,7.911425628717841,527.332560959699
10.462162377681338,10.859933537669303,884.1591654489
9.501361507461063,12.831779042530075,430.64684132453306
9.231095837301297,11.484491169112525,529.5459987207431
10.362212136493525,12.890532302191477,854.8315281189117
9.601324595496514,13.66838419478755,429.25110843709615
9.30620815190504,11.826536844519797,540.3085095421469
10.434546267322304,14.493205945115141,788.8420593612625
9.616528998695777,16.545666942620052,428.5953523538182
9.471074069761755,15.11927902720175,541.0959493066241
9.973143578560787,17.410148041865657,870.7152026060446
12.117816542811909,25.339225854296348,386.884798585234
11.028400239664471,25.43609533398335,377.3832501462911
10.930617136009595,26.362795124110153,896.2568552126075
12.723592616401866,26.396620210927072,359.100086235161
12.607879924953096,24.912760146793627,423.3307314470677
12.57382859416564,25.378403375799238,891.0033373721342
10.957445046049116,26.875285592599514,374.44664593070814
12.457786116322694,25.91824573074456,379.06809891212913
12.401500938086308,26.35448122381869,840.0805077832655
12.38180471180916,26.38373602437899,369.89290718499404
12.18456067565566,27.35621521120263,389.0646305033416
11.895773701141621,26.789131001417136,863.1659412954887
11.754985923840579,27.854609588017425,388.1053416462708
11.84076605160044,25.958288701121216,420.8421791233201
12.324433249370273,27.20677466753803,862.8339542942545
12.195606671185622,28.32812692772853,409.51793024121343
11.82328359987784,27.208801996442897,397.03466264261436
12.00757875142655,27.766262196052914,872.6865125400382
11.892515382496093,27.672615888332682,377.0638546030051
11.948980569289603,28.384689147343302,428.88945167480927
12.137684452025717,26.79708372785999,910.1833178947898
12.274981564108487,26.814523241387622,385.8502506861208
12.217059344948552,26.961812838562782,396.37292778492264
12.514954258847531,27.790265453766004,785.0566806782498
12.25972632943261,27.87318961175393,384.0639573694231
11.80246141540475,27.96084864025605,412.01769079038024
11.91990377956774,26.905461784816705,814.4499541357875
12.067542213883684,26.77639948421501,387.30658273147196
12.169388057490004,27.45633908849342,402.86122917669803
12.855534709193236,28.301321164424643,711.0881900532343
10.333285503711139,36.27386983899967,354.68102355079185
